"restaurant","cuisine_type","WeekendOrWeekday","order_id","cost","rating","prep_time","delivery_time"
"12 Chairs","Middle Eastern","Weekday",2,16.3,4,27,26
"12 Chairs","Middle Eastern","Weekday",3,29.05,5,28,32
"12 Chairs","Middle Eastern","Weekend",4,14.12,NA,31,27
"12 Chairs","Middle Eastern","Weekend",5,29.1,NA,22,26
"5 Napkin Burger","American","Weekday",6,7.91,NA,29,26
"5 Napkin Burger","American","Weekday",7,8.39,NA,35,24
"5 Napkin Burger","American","Weekend",8,9.27,NA,34,30
"5 Napkin Burger","American","Weekend",9,25.22,5,27,21
"5 Napkin Burger","American","Weekend",10,29.05,3,26,21
"Amma","Indian","Weekday",13,8.88,4,27,24
"Amma","Indian","Weekday",14,31.43,5,20,27
"Amma","Indian","Weekend",15,19.35,NA,30,16
"Amma","Indian","Weekend",16,17.03,NA,28,19
"Amy Ruth's","Southern","Weekday",17,7.38,4,24,29
"Amy Ruth's","Southern","Weekday",18,12.23,NA,32,33
"Amy Ruth's","Southern","Weekend",19,16.11,4,30,26
"Asuka Sushi","Japanese","Weekday",21,22.75,5,25,32
"Asuka Sushi","Japanese","Weekend",22,19.45,5,23,23
"Asuka Sushi","Japanese","Weekend",23,22.8,NA,30,28
"Balthazar Boulangerie","French","Weekday",27,29.15,4,31,28
"Balthazar Boulangerie","French","Weekend",28,29.1,5,31,27
"Balthazar Boulangerie","French","Weekend",29,21.93,NA,31,20
"Balthazar Boulangerie","French","Weekend",30,12.18,3,24,29
"Balthazar Boulangerie","French","Weekend",31,12.13,NA,22,27
"Balthazar Boulangerie","French","Weekend",32,12.23,4,35,23
"Balthazar Boulangerie","French","Weekend",33,12.13,5,25,24
"Balthazar Boulangerie","French","Weekend",34,21.25,NA,25,20
"Balthazar Boulangerie","French","Weekend",35,15.52,NA,21,29
"Balthazar Boulangerie","French","Weekend",36,21.39,NA,35,29
"Barbounia","Mediterranean","Weekday",37,5.97,3,33,30
"Barbounia","Mediterranean","Weekend",38,13.97,5,29,25
"Barbounia","Mediterranean","Weekend",39,16.93,5,30,18
"Barbounia","Mediterranean","Weekend",40,12.13,NA,26,26
"Barbounia","Mediterranean","Weekend",41,5.77,NA,23,23
"Barbounia","Mediterranean","Weekend",42,20.18,5,29,19
"Bareburger","American","Weekday",43,15.57,4,24,28
"Bareburger","American","Weekday",44,25.22,3,31,27
"Bareburger","American","Weekday",45,12.18,3,25,24
"Bareburger","American","Weekday",46,22.85,NA,21,30
"Bareburger","American","Weekday",47,19.35,4,33,27
"Bareburger","American","Weekday",48,16.49,NA,31,27
"Bareburger","American","Weekday",49,16.3,NA,20,28
"Bareburger","American","Weekend",50,8.73,5,21,19
"Bareburger","American","Weekend",51,24.2,4,23,23
"Bareburger","American","Weekend",52,16.25,NA,32,28
"Bareburger","American","Weekend",53,5.63,4,32,30
"Bareburger","American","Weekend",54,17.03,5,35,21
"Bareburger","American","Weekend",55,13.05,4,31,30
"Bareburger","American","Weekend",56,8.63,4,21,22
"Bareburger","American","Weekend",57,14.12,4,26,19
"Bareburger","American","Weekend",58,12.18,NA,33,18
"Bareburger","American","Weekend",59,6.84,5,22,24
"Bareburger","American","Weekend",60,8.39,3,27,30
"Bareburger","American","Weekend",61,32.93,NA,29,24
"Bareburger","American","Weekend",62,16.25,NA,29,15
"Bareburger","American","Weekend",63,13.77,3,33,29
"Bareburger","American","Weekend",64,6.07,4,23,15
"Bareburger","American","Weekend",65,24.2,5,27,24
"Bareburger","American","Weekend",66,12.56,NA,24,26
"Bareburger","American","Weekend",67,12.13,5,32,26
"Bareburger","American","Weekend",68,6.74,NA,26,29
"Bareburger","American","Weekend",69,12.08,NA,29,20
"Benihana","Japanese","Weekday",70,25.22,4,27,27
"Benihana","Japanese","Weekend",71,29.05,NA,25,26
"Benihana","Japanese","Weekend",72,29.29,5,20,18
"Benihana","Japanese","Weekend",73,5.77,NA,22,22
"Benihana","Japanese","Weekend",74,16.11,NA,25,29
"Blue Ribbon Brooklyn","American","Weekday",82,24.2,3,22,32
"Blue Ribbon Brooklyn","American","Weekday",83,5.97,4,32,24
"Blue Ribbon Brooklyn","American","Weekend",84,13.1,NA,32,19
"Blue Ribbon Brooklyn","American","Weekend",85,22.85,3,23,19
"Blue Ribbon Fried Chicken","American","Weekday",86,19.89,NA,27,24
"Blue Ribbon Fried Chicken","American","Weekday",87,8.93,5,34,30
"Blue Ribbon Fried Chicken","American","Weekday",88,24.25,5,33,30
"Blue Ribbon Fried Chicken","American","Weekday",89,14.07,4,34,24
"Blue Ribbon Fried Chicken","American","Weekday",90,7.86,4,22,33
"Blue Ribbon Fried Chicken","American","Weekday",91,12.56,5,27,27
"Blue Ribbon Fried Chicken","American","Weekday",92,20.23,4,20,26
"Blue Ribbon Fried Chicken","American","Weekday",93,12.18,3,29,27
"Blue Ribbon Fried Chicken","American","Weekday",94,12.52,4,24,31
"Blue Ribbon Fried Chicken","American","Weekday",95,31.29,NA,22,33
"Blue Ribbon Fried Chicken","American","Weekday",96,15.33,4,24,29
"Blue Ribbon Fried Chicken","American","Weekday",97,24.3,5,20,27
"Blue Ribbon Fried Chicken","American","Weekday",98,9.51,NA,30,29
"Blue Ribbon Fried Chicken","American","Weekday",99,12.23,5,33,26
"Blue Ribbon Fried Chicken","American","Weekday",100,19.35,NA,35,24
"Blue Ribbon Fried Chicken","American","Weekday",101,9.75,5,23,32
"Blue Ribbon Fried Chicken","American","Weekday",102,13,4,33,29
"Blue Ribbon Fried Chicken","American","Weekday",103,29.15,5,20,29
"Blue Ribbon Fried Chicken","American","Weekday",104,11.59,NA,25,24
"Blue Ribbon Fried Chicken","American","Weekday",105,6.79,NA,33,28
"Blue Ribbon Fried Chicken","American","Weekday",106,22.31,5,28,27
"Blue Ribbon Fried Chicken","American","Weekday",107,14.07,NA,20,31
"Blue Ribbon Fried Chicken","American","Weekend",108,12.18,4,26,29
"Blue Ribbon Fried Chicken","American","Weekend",109,29.05,5,30,29
"Blue Ribbon Fried Chicken","American","Weekend",110,15.72,4,25,19
"Blue Ribbon Fried Chicken","American","Weekend",111,13,NA,29,30
"Blue Ribbon Fried Chicken","American","Weekend",112,12.08,4,21,21
"Blue Ribbon Fried Chicken","American","Weekend",113,14.6,3,27,27
"Blue Ribbon Fried Chicken","American","Weekend",114,6.45,4,30,24
"Blue Ribbon Fried Chicken","American","Weekend",115,29.3,4,28,16
"Blue Ribbon Fried Chicken","American","Weekend",116,12.18,NA,31,23
"Blue Ribbon Fried Chicken","American","Weekend",117,8.1,NA,33,22
"Blue Ribbon Fried Chicken","American","Weekend",118,18.24,NA,21,16
"Blue Ribbon Fried Chicken","American","Weekend",119,11.69,5,21,24
"Blue Ribbon Fried Chicken","American","Weekend",120,31.38,3,35,20
"Blue Ribbon Fried Chicken","American","Weekend",121,21.34,NA,35,23
"Blue Ribbon Fried Chicken","American","Weekend",122,32.93,5,24,23
"Blue Ribbon Fried Chicken","American","Weekend",123,12.13,NA,21,28
"Blue Ribbon Fried Chicken","American","Weekend",124,33.18,NA,26,20
"Blue Ribbon Fried Chicken","American","Weekend",125,21.83,NA,20,27
"Blue Ribbon Fried Chicken","American","Weekend",126,24.25,NA,27,21
"Blue Ribbon Fried Chicken","American","Weekend",127,20.18,3,22,20
"Blue Ribbon Fried Chicken","American","Weekend",128,19.4,4,33,21
"Blue Ribbon Fried Chicken","American","Weekend",129,9.02,5,31,15
"Blue Ribbon Fried Chicken","American","Weekend",130,29.15,4,31,17
"Blue Ribbon Fried Chicken","American","Weekend",131,29.39,NA,27,28
"Blue Ribbon Fried Chicken","American","Weekend",132,8.78,NA,22,26
"Blue Ribbon Fried Chicken","American","Weekend",133,29.2,3,25,15
"Blue Ribbon Fried Chicken","American","Weekend",134,12.18,4,32,22
"Blue Ribbon Fried Chicken","American","Weekend",135,12.23,5,27,27
"Blue Ribbon Fried Chicken","American","Weekend",136,16.2,NA,32,23
"Blue Ribbon Fried Chicken","American","Weekend",137,13,NA,24,30
"Blue Ribbon Fried Chicken","American","Weekend",138,24.3,5,22,15
"Blue Ribbon Fried Chicken","American","Weekend",139,24.2,NA,28,29
"Blue Ribbon Fried Chicken","American","Weekend",140,33.03,5,35,25
"Blue Ribbon Fried Chicken","American","Weekend",141,12.13,NA,20,26
"Blue Ribbon Fried Chicken","American","Weekend",142,15.33,NA,23,15
"Blue Ribbon Fried Chicken","American","Weekend",143,24.3,5,23,17
"Blue Ribbon Fried Chicken","American","Weekend",144,25.27,5,29,28
"Blue Ribbon Fried Chicken","American","Weekend",145,24.3,5,34,21
"Blue Ribbon Fried Chicken","American","Weekend",146,8.2,5,34,17
"Blue Ribbon Fried Chicken","American","Weekend",147,9.27,NA,29,16
"Blue Ribbon Fried Chicken","American","Weekend",148,12.13,NA,35,29
"Blue Ribbon Fried Chicken","American","Weekend",149,6.79,3,28,27
"Blue Ribbon Fried Chicken","American","Weekend",150,16.39,NA,27,22
"Blue Ribbon Fried Chicken","American","Weekend",151,12.13,5,28,23
"Blue Ribbon Fried Chicken","American","Weekend",152,10.14,4,21,17
"Blue Ribbon Fried Chicken","American","Weekend",153,33.03,5,34,24
"Blue Ribbon Fried Chicken","American","Weekend",154,14.65,NA,34,23
"Blue Ribbon Fried Chicken","American","Weekend",155,12.18,4,22,29
"Blue Ribbon Fried Chicken","American","Weekend",156,29.1,4,21,22
"Blue Ribbon Fried Chicken","American","Weekend",157,21.34,5,28,21
"Blue Ribbon Fried Chicken","American","Weekend",158,15.71,3,27,25
"Blue Ribbon Fried Chicken","American","Weekend",159,8.39,4,26,17
"Blue Ribbon Fried Chicken","American","Weekend",160,24.3,5,22,26
"Blue Ribbon Fried Chicken","American","Weekend",161,12.18,NA,25,17
"Blue Ribbon Fried Chicken","American","Weekend",162,29.44,4,33,27
"Blue Ribbon Fried Chicken","American","Weekend",163,12.13,5,25,29
"Blue Ribbon Fried Chicken","American","Weekend",164,16.44,4,24,16
"Blue Ribbon Fried Chicken","American","Weekend",165,29.05,5,29,20
"Blue Ribbon Fried Chicken","American","Weekend",166,29.1,NA,31,27
"Blue Ribbon Fried Chicken","American","Weekend",167,8.44,3,31,18
"Blue Ribbon Fried Chicken","American","Weekend",168,21.29,5,28,29
"Blue Ribbon Fried Chicken","American","Weekend",169,29.59,5,23,25
"Blue Ribbon Fried Chicken","American","Weekend",170,6.84,3,24,26
"Blue Ribbon Fried Chicken","American","Weekend",171,12.95,5,27,28
"Blue Ribbon Fried Chicken","American","Weekend",172,8.98,3,26,27
"Blue Ribbon Fried Chicken","American","Weekend",173,12.23,4,21,26
"Blue Ribbon Fried Chicken","American","Weekend",174,11.64,5,24,16
"Blue Ribbon Fried Chicken","American","Weekend",175,12.23,NA,30,20
"Blue Ribbon Fried Chicken","American","Weekend",176,12.18,5,35,27
"Blue Ribbon Fried Chicken","American","Weekend",177,12.61,3,30,30
"Blue Ribbon Fried Chicken","American","Weekend",178,14.02,5,20,28
"Blue Ribbon Fried Chicken","American","Weekend",179,24.25,NA,28,21
"Blue Ribbon Fried Chicken","American","Weekend",180,5.73,NA,34,16
"Blue Ribbon Fried Chicken","American","Weekend",181,14.84,5,21,25
"Blue Ribbon Sushi","Japanese","Weekday",182,25.22,NA,31,24
"Blue Ribbon Sushi","Japanese","Weekday",183,12.71,NA,24,28
"Blue Ribbon Sushi","Japanese","Weekday",184,12.18,NA,34,32
"Blue Ribbon Sushi","Japanese","Weekday",185,5.82,NA,27,28
"Blue Ribbon Sushi","Japanese","Weekday",186,24.3,NA,21,26
"Blue Ribbon Sushi","Japanese","Weekday",187,19.4,NA,24,24
"Blue Ribbon Sushi","Japanese","Weekday",188,24.25,5,30,26
"Blue Ribbon Sushi","Japanese","Weekday",189,12.13,NA,32,29
"Blue Ribbon Sushi","Japanese","Weekday",190,33.37,3,30,27
"Blue Ribbon Sushi","Japanese","Weekday",191,5.92,NA,27,31
"Blue Ribbon Sushi","Japanese","Weekday",192,14.12,5,35,33
"Blue Ribbon Sushi","Japanese","Weekday",193,24.25,NA,29,25
"Blue Ribbon Sushi","Japanese","Weekday",194,24.25,4,22,29
"Blue Ribbon Sushi","Japanese","Weekday",195,14.5,3,34,24
"Blue Ribbon Sushi","Japanese","Weekday",196,13.87,NA,31,30
"Blue Ribbon Sushi","Japanese","Weekday",197,14.02,NA,35,29
"Blue Ribbon Sushi","Japanese","Weekday",198,24.3,5,21,33
"Blue Ribbon Sushi","Japanese","Weekday",199,21.83,3,21,26
"Blue Ribbon Sushi","Japanese","Weekday",200,12.13,NA,26,27
"Blue Ribbon Sushi","Japanese","Weekday",201,14.07,NA,35,29
