"order_id","restaurant_name","cuisine_type","cost_of_the_order","day_of_the_week","rating","food_preparation_time","delivery_time"
1477147,"Hangawi","Korean",30.75,"Weekend","Not given",25,20
1477685,"Blue Ribbon Sushi Izakaya","Japanese",12.08,"Weekend","Not given",25,23
1477070,"Cafe Habana","Mexican",12.23,"Weekday","5",23,28
1477334,"Blue Ribbon Fried Chicken","American",29.2,"Weekend","3",25,15
1478249,"Dirty Bird to Go","American",11.59,"Weekday","4",25,24
1477224,"Tamarind TriBeCa","Indian",25.22,"Weekday","3",20,24
1477894,"The Meatball Shop","Italian",6.07,"Weekend","Not given",28,21
1477859,"Barbounia","Mediterranean",5.97,"Weekday","3",33,30
1477174,"Anjappar Chettinad","Indian",16.44,"Weekday","5",21,26
1477311,"Bukhara Grill","Indian",7.18,"Weekday","5",29,26
1477895,"Big Wong Restaurant _¤¾Ñ¼","Chinese",5.92,"Weekday","Not given",34,28
1478437,"Empanada Mama (closed)","Mexican",8.1,"Weekend","5",23,22
1476966,"Blue Ribbon Fried Chicken","American",24.3,"Weekend","5",23,17
1477449,"Pylos","Mediterranean",11.3,"Weekend","3",24,23
1478198,"Lucky's Famous Burgers","American",12.13,"Weekday","Not given",23,30
1477414,"Shake Shack","American",16.2,"Weekend","5",33,25
1477486,"Sushi of Gari","Japanese",16.98,"Weekend","Not given",30,16
1477373,"Blue Ribbon Sushi Izakaya","Japanese",33.03,"Weekend","Not given",21,22
1477138,"RedFarm Hudson","Chinese",14.12,"Weekend","4",25,24
1477354,"Blue Ribbon Sushi","Japanese",16.2,"Weekend","4",35,26
1478296,"Five Guys Burgers and Fries","American",24.2,"Weekend","4",21,24
1478226,"Shake Shack","American",15.91,"Weekend","Not given",25,20
1478287,"Shake Shack","American",29.1,"Weekday","5",21,30
1478014,"Tortaria","Mexican",8.92,"Weekend","Not given",33,16
1476714,"Cafe Mogador","Middle Eastern",15.86,"Weekday","Not given",32,29
1476693,"Cafe Mogador","Middle Eastern",29.1,"Weekday","5",20,29
1476995,"The Meatball Shop","Italian",21.88,"Weekday","5",24,27
1476844,"Otto Enoteca Pizzeria","Italian",14.02,"Weekend","Not given",24,16
1477015,"Vezzo Thin Crust Pizza","Italian",9.17,"Weekend","Not given",21,24
1476889,"Sushi of Gari 46","Japanese",12.18,"Weekday","Not given",20,29
1478289,"The Kati Roll Company","Indian",31.33,"Weekend","5",28,25
1477699,"Klong","Thai",29.05,"Weekend","5",35,24
1476855,"5 Napkin Burger","American",8.39,"Weekday","Not given",35,24
1477748,"TAO","Japanese",9.12,"Weekend","Not given",34,18
1478244,"Parm","Italian",29.1,"Weekend","5",30,26
1478310,"Sushi Samba","Japanese",15.47,"Weekend","Not given",32,26
1478017,"Blue Ribbon Sushi","Japanese",16.01,"Weekday","4",23,31
1476871,"The Meatball Shop","Italian",24.3,"Weekday","4",31,29
1477999,"Haru Gramercy Park","Japanese",29.83,"Weekday","5",20,32
1476891,"Shake Shack","American",19.89,"Weekend","Not given",27,19
1477425,"Chipotle Mexican Grill $1.99 Delivery","Mexican",19.35,"Weekend","4",21,18
1478143,"TAO","Japanese",33.22,"Weekend","Not given",23,19
1477267,"RedFarm Broadway","Chinese",24.25,"Weekend","5",22,15
