"order_id","restaurant","cuisine_type","cost","WeekendOrWeekday","rating","prepTime","deliveryTime"
1477236,"Chipotle Mexican Grill","Mexican",16.1,"Weekend",NA,22,26
1477855,"Sushi of Gari 46","Japanese",22.26,"Weekend",5,28,22
1477357,"Go! Go! Curry!","Japanese",20.18,"Weekend",3,22,29
1478155,"The Meatball Shop","Italian",8.3,"Weekday",NA,29,32
1477662,"Hill Country Fried Chicken","Southern",29.78,"Weekday",NA,35,33
1478055,"Indikitch","Indian",5.58,"Weekend",NA,35,30
1476949,"Pepe Rosso to Go","Italian",16.3,"Weekend",NA,23,30
1477209,"Prosperity Dumpling","Chinese",12.18,"Weekday",NA,26,24
1477841,"Rubirosa","Italian",21.88,"Weekend",4,28,27
1477834,"The Meatball Shop","Italian",20.18,"Weekend",4,32,26
1476752,"Nobu Next Door","Japanese",16.06,"Weekend",NA,31,23
1477215,"Blue Ribbon Sushi Bar & Grill","Japanese",24.25,"Weekend",5,25,26
1477819,"Blue Ribbon Sushi","Japanese",25.22,"Weekday",NA,31,24
1477279,"TAO","Japanese",16.15,"Weekend",3,24,22
1476684,"Shake Shack","American",19.4,"Weekend",5,32,24
1478339,"Vanessa's Dumpling House","Chinese",18.43,"Weekend",5,34,28
1477264,"The Meatball Shop","Italian",12.23,"Weekday",NA,28,33
1477052,"Mira Sushi","Japanese",11.79,"Weekend",NA,32,26
1476920,"RedFarm Broadway","Chinese",12.13,"Weekend",4,20,19
1476716,"Saravanaa Bhavan","Indian",15.52,"Weekday",5,33,26
1477807,"Blue Ribbon Sushi","Japanese",12.71,"Weekday",NA,24,28
1476649,"Ravagh Persian Grill","Middle Eastern",16.93,"Weekend",NA,33,21
1477455,"Rubirosa","Italian",16.2,"Weekend",4,21,27
1478390,"Vanessa's Dumplings","Chinese",12.13,"Weekday",NA,31,33
1477410,"Mamoun's Falafel","Mediterranean",9.07,"Weekend",NA,20,24
1476815,"Prosperity Dumpling","Chinese",13.63,"Weekend",5,25,24
1477779,"TAO","Japanese",31.43,"Weekend",NA,34,20
1477953,"The Meatball Shop","American",19.35,"Weekend",4,31,25
1477606,"RedFarm Broadway","Chinese",9.27,"Weekday",4,32,29
1477982,"Go! Go! Curry!","Japanese",14.02,"Weekday",4,22,27
1477910,"Frank Restaurant","Italian",12.08,"Weekday",4,20,31
1477246,"Bukhara Grill","Indian",16.54,"Weekend",5,23,17
1476863,"The Meatball Shop","American",31.43,"Weekend",NA,31,22
1478434,"J. G. Melon","American",19.45,"Weekend",5,24,15
1477796,"Parm","Italian",15.91,"Weekday",NA,32,28
1477077,"Shake Shack","American",12.18,"Weekend",4,27,23
1477939,"The Meatball Shop","Italian",15.91,"Weekend",NA,26,20
1477623,"The Meatball Shop","Italian",19.35,"Weekend",NA,27,20
1476598,"Parm","Italian",12.13,"Weekend",3,34,22
1478197,"Shake Shack","American",12.08,"Weekend",5,28,23
1476977,"Shake Shack","American",25.17,"Weekend",5,27,26
1477220,"Kambi Ramen House","Japanese",32.93,"Weekend",5,35,19
1478092,"Jack's Wife Freda","Mediterranean",15.47,"Weekend",5,33,16
1477250,"Nobu Next Door","Japanese",19.35,"Weekend",4,28,30
1478074,"Blue Ribbon Fried Chicken","American",29.05,"Weekend",5,30,29
1478219,"Shake Shack","American",22.8,"Weekend",NA,30,19
1477820,"Schnipper's Quality Kitchen","American",25.22,"Weekend",4,33,18
1476693,"Cafe Mogador","Middle Eastern",29.1,"Weekday",5,20,29
1478027,"Parm","Italian",22.75,"Weekday",NA,30,27
1478156,"Shake Shack","American",8.1,"Weekend",NA,25,24
1476565,"Blue Ribbon Sushi Bar & Grill","Japanese",15.33,"Weekend",5,32,29
1476866,"Blue Ribbon Sushi","Japanese",12.18,"Weekday",NA,34,32
1477896,"Pepe Rosso to Go","Italian",22.8,"Weekend",5,35,24
1477940,"Joe's Shanghai","Chinese",16.15,"Weekend",3,33,20
1477177,"Song Thai Restaurant & Bar","Thai",24.2,"Weekend",5,21,26
1477318,"UVA Wine Bar & Restaurant","Italian",14.65,"Weekday",5,32,25
1478331,"Han Dynasty","Chinese",12.13,"Weekend",5,33,27
1478145,"Melt Shop","American",11.69,"Weekday",4,21,27
1477718,"Blue Ribbon Sushi","Japanese",16.11,"Weekend",5,22,26
1478006,"Blue Ribbon Sushi","Japanese",24.3,"Weekday",NA,21,26
1477241,"Jack's Wife Freda","Mediterranean",14.12,"Weekday",5,25,25
1477047,"5 Napkin Burger","American",9.27,"Weekend",NA,34,30
1478085,"Tony's Di Napoli","Italian",11.3,"Weekend",4,35,29
1476725,"Barbounia","Mediterranean",13.97,"Weekend",5,29,25
1477332,"RedFarm Hudson","Chinese",24.2,"Weekend",5,27,19
1477262,"Blue Ribbon Fried Chicken","American",12.08,"Weekend",4,21,21
1477977,"Han Dynasty","Chinese",16.01,"Weekend",5,30,16
1476764,"Sushi Samba","Japanese",13,"Weekend",4,33,21
1478240,"Rubirosa","Italian",24.2,"Weekend",4,34,16
1476680,"Blue Ribbon Sushi Izakaya","Japanese",12.08,"Weekend",3,35,15
1478028,"Shake Shack","American",24.25,"Weekend",5,31,28
1477866,"Blue Ribbon Sushi","Japanese",9.41,"Weekend",5,24,18
1477512,"Sushi of Gari Tribeca","Japanese",9.27,"Weekend",NA,20,17
1478038,"Shake Shack","American",12.18,"Weekend",NA,31,28
1476686,"Blue Ribbon Sushi","Japanese",16.44,"Weekend",5,30,29
1476960,"Parm","Italian",21.83,"Weekday",NA,23,32
1476766,"Shake Shack","American",19.35,"Weekend",4,21,29
1477305,"The Meatball Shop","American",24.2,"Weekend",5,21,30
1476697,"The Meatball Shop","American",32.93,"Weekend",3,35,16
1477169,"Blue Ribbon Sushi Bar & Grill","Japanese",12.08,"Weekday",5,29,24
1476947,"The Meatball Shop","Italian",8.54,"Weekday",5,24,29
1477175,"Blue Ribbon Fried Chicken","American",14.6,"Weekend",3,27,27
1477108,"Blue Ribbon Sushi","Japanese",29.68,"Weekend",3,26,30
1476599,"Bubby's","American",22.75,"Weekend",5,32,16
1477664,"Blue Ribbon Fried Chicken","American",29.3,"Weekend",4,28,16
